endpoint_alias,campo,coluna_template,fonte,schema_api,tipo_api,formato_api,descricao,data_inicio_coleta,data_atualizacao_template,presente_na_api,usar_no_template,status_template,ordem_template,ordem_api
resultados_itens,tipoPessoa,tipoPessoa,api,RecuperarCompraItemResultadoDTO,string,,Tipo de pessoa do fornecedor (física ou jurídica),2026-05-20,2026-05-23,TRUE,TRUE,ativo,11,5
resultados_itens,porteFornecedorId,porteFornecedorId,api,RecuperarCompraItemResultadoDTO,string,,"Identificador do porte do fornecedor (micro, pequena, média ou grande empresa)",2026-05-20,2026-05-23,TRUE,TRUE,ativo,12,16
resultados_itens,porteFornecedorNome,porteFornecedorNome,api,RecuperarCompraItemResultadoDTO,string,,Nome do porte do fornecedor,2026-05-20,2026-05-23,TRUE,TRUE,ativo,13,36
resultados_itens,naturezaJuridicaId,naturezaJuridicaId,api,RecuperarCompraItemResultadoDTO,string,,Identificador da natureza jurídica do fornecedor,2026-05-20,2026-05-22,TRUE,TRUE,ativo,14,42
resultados_itens,naturezaJuridicaNome,naturezaJuridicaNome,api,RecuperarCompraItemResultadoDTO,string,,Nome da natureza jurídica do fornecedor,2026-05-20,2026-05-23,TRUE,TRUE,ativo,15,38
resultados_itens,codigoPais,codigoPais,api,RecuperarCompraItemResultadoDTO,string,,Código do país do fornecedor,2026-05-20,2026-05-23,TRUE,TRUE,ativo,16,15
resultados_itens,quantidadeHomologada,quantidadeHomologada,api,RecuperarCompraItemResultadoDTO,number,,Quantidade homologada do item no resultado,2026-05-20,2026-05-23,TRUE,TRUE,ativo,17,17
resultados_itens,valorUnitarioHomologado,valorUnitarioHomologado,api,RecuperarCompraItemResultadoDTO,number,,Valor unitário homologado do item,2026-05-20,2026-05-23,TRUE,TRUE,ativo,18,18
resultados_itens,valorTotalHomologado,valorTotalHomologado,api,RecuperarCompraItemResultadoDTO,number,,Valor total homologado do item no resultado,2026-05-20,2026-05-23,TRUE,TRUE,ativo,19,8
resultados_itens,percentualDesconto,percentualDesconto,api,RecuperarCompraItemResultadoDTO,number,,Percentual de desconto oferecido pelo fornecedor vencedor,2026-05-20,2026-05-23,TRUE,TRUE,ativo,20,19
resultados_itens,paisOrigemProdutoServico.id,paisOrigemProdutoServico.id,api,PaisResumidoDTO,string,,Código do país de origem do produto ou serviço fornecido,2026-05-20,2026-05-23,TRUE,TRUE,ativo,21,28
resultados_itens,paisOrigemProdutoServico.nome,paisOrigemProdutoServico.nome,api,PaisResumidoDTO,string,,Nome do país de origem do produto ou serviço,2026-05-20,2026-05-23,TRUE,TRUE,ativo,22,29
resultados_itens,moedaEstrangeira.id,moedaEstrangeira.id,api,MoedaResumidoDTO,integer,int64,Identificador da moeda estrangeira utilizada no resultado (quando aplicável),2026-05-20,2026-05-23,TRUE,TRUE,ativo,23,10
resultados_itens,moedaEstrangeira.simbolo,moedaEstrangeira.simbolo,api,MoedaResumidoDTO,string,,Símbolo da moeda estrangeira utilizada,2026-05-20,2026-05-23,TRUE,TRUE,ativo,24,11
resultados_itens,moedaEstrangeira.nome,moedaEstrangeira.nome,api,MoedaResumidoDTO,string,,Nome da moeda estrangeira utilizada,2026-05-20,2026-05-23,TRUE,TRUE,ativo,25,12
resultados_itens,timezoneCotacaoMoedaEstrangeira,timezoneCotacaoMoedaEstrangeira,api,RecuperarCompraItemResultadoDTO,string,,Fuso horário de referência da cotação da moeda estrangeira,2026-05-20,2026-05-23,TRUE,TRUE,ativo,26,9
resultados_itens,valorNominalMoedaEstrangeira,valorNominalMoedaEstrangeira,api,RecuperarCompraItemResultadoDTO,number,,Valor nominal do item em moeda estrangeira,2026-05-20,2026-05-23,TRUE,TRUE,ativo,27,13
resultados_itens,dataCotacaoMoedaEstrangeira,dataCotacaoMoedaEstrangeira,api,RecuperarCompraItemResultadoDTO,string,date-time,Data em que foi realizada a cotação da moeda estrangeira,2026-05-20,2026-05-23,TRUE,TRUE,ativo,28,14
resultados_itens,aplicacaoMargemPreferencia,aplicacaoMargemPreferencia,api,RecuperarCompraItemResultadoDTO,boolean,,Indicador se foi aplicada margem de preferência na contratação (True/False),2026-05-20,2026-05-22,TRUE,TRUE,ativo,29,39
resultados_itens,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.id,api,DominioGenericoResumidoDTO,integer,int64,Identificador do amparo legal relacionado à aplicação da margem de preferência,2026-05-20,2026-05-23,TRUE,TRUE,ativo,30,20
resultados_itens,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.nome,api,DominioGenericoResumidoDTO,string,,Nome do amparo legal relacionado à aplicação da margem de preferência,2026-05-20,2026-05-23,TRUE,TRUE,ativo,31,21
resultados_itens,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.descricao,api,DominioGenericoResumidoDTO,string,,Descrição do amparo legal relacionado à aplicação da margem de preferência,2026-05-20,2026-05-23,TRUE,TRUE,ativo,32,22
resultados_itens,amparoLegalMargemPreferencia.statusAtivo,amparoLegalMargemPreferencia.statusAtivo,api,DominioGenericoResumidoDTO,boolean,,Indica se o amparo legal de margem de preferência está ativo,2026-05-20,2026-05-23,TRUE,TRUE,ativo,33,23
resultados_itens,aplicacaoBeneficioMeEpp,aplicacaoBeneficioMeEpp,api,RecuperarCompraItemResultadoDTO,boolean,,Indicador se foi concedido benefício específico para ME/EPP (Micro e Pequenas Empresas),2026-05-20,2026-05-22,TRUE,TRUE,ativo,34,40
resultados_itens,aplicacaoCriterioDesempate,aplicacaoCriterioDesempate,api,RecuperarCompraItemResultadoDTO,boolean,,Indicador se foi aplicado critério de desempate conforme a legislação,2026-05-20,2026-05-22,TRUE,TRUE,ativo,35,41
resultados_itens,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.id,api,DominioGenericoResumidoDTO,integer,int64,Identificador do amparo legal relacionado ao critério de desempate,2026-05-20,2026-05-23,TRUE,TRUE,ativo,36,24
resultados_itens,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.nome,api,DominioGenericoResumidoDTO,string,,Nome do amparo legal relacionado ao critério de desempate,2026-05-20,2026-05-23,TRUE,TRUE,ativo,37,25
resultados_itens,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.descricao,api,DominioGenericoResumidoDTO,string,,Descrição do amparo legal relacionado ao critério de desempate,2026-05-20,2026-05-23,TRUE,TRUE,ativo,38,26
resultados_itens,amparoLegalCriterioDesempate.statusAtivo,amparoLegalCriterioDesempate.statusAtivo,api,DominioGenericoResumidoDTO,boolean,,Indica se o amparo legal do critério de desempate está ativo,2026-05-20,2026-05-23,TRUE,TRUE,ativo,39,27
resultados_itens,indicadorSubcontratacao,indicadorSubcontratacao,api,RecuperarCompraItemResultadoDTO,boolean,,Indica se há subcontratação no resultado do item (True/False),2026-05-20,2026-05-23,TRUE,TRUE,ativo,40,30
resultados_itens,ordemClassificacaoSrp,ordemClassificacaoSrp,api,RecuperarCompraItemResultadoDTO,integer,int32,Ordem de classificação do fornecedor no Sistema de Registro de Preços (SRP),2026-05-20,2026-05-23,TRUE,TRUE,ativo,41,31
resultados_itens,dataResultado,dataResultado,api,RecuperarCompraItemResultadoDTO,string,date,Data do resultado homologado para o item no PNCP,2026-05-20,2026-05-23,TRUE,TRUE,ativo,42,32
resultados_itens,dataCancelamento,dataCancelamento,api,RecuperarCompraItemResultadoDTO,string,date-time,Data de cancelamento do resultado do item (se houver),2026-05-20,2026-05-23,TRUE,TRUE,ativo,43,1
resultados_itens,motivoCancelamento,motivoCancelamento,api,RecuperarCompraItemResultadoDTO,string,,Motivo do cancelamento do resultado do item (quando cancelado),2026-05-20,2026-05-23,TRUE,TRUE,ativo,44,33
